id,review,category
62,good app  but lacks important updates i love this app. it does exactly what it's suppose to do. it tracks runs  bike rides  and other forms of moving exercises. the data is quick to get to and the running screen is easy to read and see all the important info at a glance.  unfortunately  they're slow with updating the app to use android's latest features. specifically bluetooth low energy for heart rate monitors. i understand not everyone is on android 4.3+ but for those of us who are  the lack of ble support is discouraging  given how important heart rate info can be when training. for this reason  i've moved over to mapmyfitness which supports bluetooth low energy heart rate monitors. once runkeeper brings in ble support  i'll switch back as i like the app better.,FEATURE
63,freezes on loss screen would love to unlock the alpha goggles but lucky this app is trash.,BUG
64,drm ruins the experience the licensing issue in this game completely ruined my experience with the game. those of you looking to purchase the game must be warned the google play license error message shows up after an hours play and force stops the app. if you wish to keep playing you must download and re-install the app again only to have the same process repeat itself after another hours play. an issue the developer is unwilling to fix after unresponsive bad customer service.,BUG
65,nice apps  lack of stability and features it would be better if there is downloading and downloaded list rather than checking each kind of genre. the player features is also lack most of important features. very prone to crash if it's running in the background.,BUG
66,? game freezes regularly.,PERFORMANCE
67,very good app for reflecting i adore it,OTHER
68,A,OTHER
69,this is excellent app,OTHER
70,heads up feature something's wrong with the heads up feature on htc one. the notifications keep coming back even after you dismiss it,BUG
71,terrible horrible graphics. tutorial takes forever. takes forever to load  frequent disconnects. force closes many bugs and glitches. sever is completely dead. updates are non existent. looks like developers gave up on this one. don't download! this game is just awful.,BUG
72,cool it's good but does not use the screen space properly. why swipe when there is space to draw all icons?,USABILITY
73,i want my money back !? so i download this abd i couldn't unfollow people because i had to upgrade to pro for 99 cents i did that and it froze so i reloaded it and it wouldnt load it kept saying error invalid so yea..... fix it please and give me my money back,BUG
74,excellent indeed i just have a small problem  the lights always boosts to max when reading hence consuming my battery faster. but other than that  an excellent app :),ENERGY
75,bad to many tutorials  it tkes to long  and it freezes up on my device please fix this until then this game is terrible to me. others may like it thought i don't.,PERFORMANCE
76,ads to close to buttons i understand why ads are in free software  but why do you have to put them so close to the buttons? i uninstalled this app because of this!,USABILITY
77,xperia c5503 my anti-virus scanned this application and it says  addisplay.airpush.j  --is this a virus???,SECURITY
78,easy to use app this app is easy to use. all woot deals are easy to see.,OTHER
79,great app its a fabulous and fast than media channels.,OTHER
80,? it's better then most slots on android market,OTHER
81,awesome app .. love every thing about it!! must admit i started out looking for a food diary but this is amazing!  the my recipes feature is my favorite.   i don't have to miss out .. just enter the recipe and the rest easy.,OTHER
82,awesome it is really good   and see it futures   it is unbelievable . it outlook is so creative . that why i like it . i think  it has one major problem it size is so big for small memory usear .,USABILITY
83,thanks thanks for all,OTHER
84,nice app. it is very use full.,OTHER
85,amazing  well designed  but confusing. says i have a lot more free space than android reports.,USABILITY
86,i love it but... its awesome cause i can play my own songs! no.other games do that. not like tap tap. this has really good potential but you guys need to fix these bugs and quick. like pushing all three bottons in the middle of a song... its not going to happen. and also to make the little circles be more in symc with the music. not just all random that doesn't even go with the beat or the music phrases. please fix and ill give 5 all the way!,BUG
87,this game is awesome but i had to delete it because my phone doesn't have enough space but its still awesome,USABILITY
88,good this game is awesome for my family,OTHER
89,bad!!! it is not use friendly  it eats alot of ram space and it so laggy,PERFORMANCE
90,dinesh maity i'm too happy to get it.  thank you andraid to making for us,OTHER
91,good app. what a nice app. help me get prepared for the day.,OTHER
92,the app dont work i made am account and now i cant log in stupid u guys have to fix this it used to work very well b4 the app has an error n it won't let u view ur account please fix asap,BUG
93,fix the damm bug!!! cant even start after update.. vip5 player here and we have this problem?? i smelll compensation. ....,BUG
94,fun w/ few freezes & boots i like  it's fun  but booted me out for the first few times and the caller froze on me during a game.,PERFORMANCE
95,frustrating freezes at level 4.,PERFORMANCE
96,live wallpaper this is a grate app,OTHER
97,nostalgia loved this game in the old days.  hope they bring dragons lair 2 and braindead 13 to android next.  i see in other comments space ace is coming.,OTHER
98,? great for people on the go. i love this app.,OTHER
99,i like t this game is cool,OTHER
100,adware this app is adware wich is a virus 8 think,SECURITY
101,? fun for kid .thanks,OTHER
102,satisfied it played for me the online streaming audio url i wanted it to play.,OTHER
103,fast and easy to use so far i find no faults with this excellent browser. i'd recommend it in a second. my only complaint is the lack of gif support  which is a feature from chrome that i miss.,FEATURE
104,simple its does the job,OTHER
105,easy to use and accurate like real magnetic compass. no,OTHER
106,this game is fun but it freezes too much it gets frustrated.... this game is fun but it freezes too much it gets frustrated....,PERFORMANCE
107,laggy very slow even on wifi.,PERFORMANCE
108,used to like it was a fun game until the last update. ever since then  the game freezes almost every time i try to play it.,PERFORMANCE
109,fast but no session restore i would love to use this as my browser but can not due to the lack of session restore. i like to keep many tabs open at the same time and need this feature on my browser.,FEATURE
110,thanks :-) xperia sp  it's very inspiring!,OTHER
111,separate app for personal videos i don't understand why that was removed and ported to another app.,OTHER
112,excellent app nice to use this app it is very handy .,OTHER
113,? simple quick and excellent,OTHER
114,unplayable freezes every time i try to play this has been the only game in the app store to do this period. might b a good game but i wouldn't know,PERFORMANCE
115,gud it's funny game but i wont connect to fb when i clik add friends it's freeze and nothing works and takes me out of game need to fix bug... for fishing it asks to spend vochers i don't understand.  for neighbour house repair it asks coins. need to resolve more bugs...,BUG
116,didn't get the full features of kit kat my navigation button on nexus 4 still remain in black background.,USABILITY
117,? this app is so cute,OTHER
118,battery level bug battery level is not in sync and you cannot remove the icon on the widget...,BUG
119,optimalisation for 4.4 is pretty much needed i feel some issues after flashing the supernexus rom. i can't unpause the track -&gt; player will skip to another on the list after two second lag. also  from time to time artwork freezes on screen of the player (was happening also on 4.1.2  so it is not a android version thingy) anyways for me this is the best player on the market. 5* after fixing mentioned issues.  edit: artwork freezes pretty often,BUG
120,integration of emails is nice. would like more features  coming from ms exchange  the lack of features is a bit frustrating. unable to organize at the level i am used to. could use automation festured.  un,FEATURE
121,very slow intresting to play,PERFORMANCE
122,? quite reliable and user friendly,OTHER
123,not connecting to facebook using samsung s duos 2. the game is addicting but the problem is when trying to connect with facebook  game got strucked and getting closed automatically. upto now this bug is not fixed. getting tired of trying to connect with facebook and with out connecting to facebook i cant trade with my friends and this is the major problem with this game. please fix this...... and i'll give u 5 stars.,BUG
124,best of i have tried most of weather apps. this one is the best from far,OTHER
125,ok but buggy freezes my phone a lot. tends to lag right before it happens. fun though. like angry birds,BUG
126,brightness level bugs still many bugs on brightness level rooted optimus 2x ics v30b. although i already check set on boot. please fix it and i will give 5 stars.,BUG
127,good app but not bad it consumer high battery  and data  and work amazing,ENERGY
128,excellent it's a good app for searching jobs,OTHER
129,kobe is the best f all haters enough said,OTHER
130,pro features bug fixed please fix as not working with kitkat..,BUG
131,must have very useful. worth 5 stars.,OTHER
132,sms service not working plz update the app as soon as possible. its a good app im using from last one year but currently its not wrking fix the bug soon.,BUG
133,still not marched triumphant upon its 'younger' competitors. its really funny that other similar services provide voice call for android 2.3 devices with minor issues but worked just fine.then why does a widely-known-through-out-the-world messaging/interaction service from the great blackberry lack it ?.its a hassle to connect my tablet just to voice called my bbm friends which doesn't shared the same pin regardless its bb id.just a standard messaging provided for the gingerbread users which is somewhat useless despite others provide more features/services.,FEATURE
134,generally a good game. difficult to use strategy while attacking  but still good all the same.,OTHER
135,? this is something wonderful for paper readers,OTHER
136,i think it's a very good  creative app. nixe. real nice.,OTHER
137,? love this site and this app.,OTHER
138,can play again for a while i had trouble getting into the various games  some i couldn't at all but now with patience i can.  sometimes i have to tap a few times but as i understand its not the game it's my phone.  love the game.  i'm pretty addicted lol.,PERFORMANCE
139,dissapointed you don't do united kingdom! :(,OTHER
140,? this app is not worth the money at all..u cant even see the fish and it freezes a lot:(,BUG
141,frustrating lack of features requested long ago. the lack of ability to save magazines to the external sd card is why i rarely use this anymore. it's ridiculous that i am forced to save to my 8gb of internal space when i have a 64gb microsd card installed.  inability to remove multiple issues at once is frustrating too.,FEATURE
142,micromax a177 that is the best app....,OTHER
143,fun and challenging! one of the most fun android games i have played to date.,OTHER
144,android un-friendly the app is significantly less developed than its ios counterpart  and the lack of chromecast support is a glaring omission of one of the fundamental features of an android video experience.,FEATURE
145,i dont have a sd card so i cant use it  :(,PERFORMANCE
146,this is excellent app really helpful,OTHER
147,facebook connection error when i try to connect to facebook  it seems that the game freeze and force quit... pls fix it,BUG
148,it is good but not true what do u think giyz,OTHER
149,great best for baby's five,OTHER
150,f**** if during next 24 hours summon function does not provide me with some 4 stars card which matches my one i will definitely re-rate this game and uninstall. thanks for understanding:) also i do not like facebook. why can i not use google plus for sharing and invitation?,FEATURE
151,2.6 thish app is very useful.,OTHER
152,nice but buggy some times you make a move but your clock still is working till you are out of time. awfull. some cheaters can  enter 3 queens  in the game via cheating. fix it and it will be nice app.,BUG
153,not good every time i try to unfollow it says error and when on my instagram page i have to imput a security code..please fix this now please.,BUG
154,not showing today current temperature not showing current temperature even after update..can't even  search the locations in india  auto update of location is not working getting some error. pls fix the error so willl give 5 starts,BUG
155,awesome game truly a fun game but please do fix the bugs and the random crashes. good fun  really enjoying it. thanks !!!,BUG
156,lots of really useful info great info  although i found the forms a bit difficult to use,USABILITY
157,error fix the errors gets stucked ....,BUG
158,? does what it says!  very. happy,OTHER
159,excellent best app  best game ever! can play for hours,OTHER
160,very nice for all please some improve diesel shed,USABILITY
161,do not update... if you're like me & miss all the great features from the last google maps. i have found the answer. anyone looking to going back to v6.14.4 before the update please email me at: nemichoco@gmail.com,FEATURE
162,wow this app is too good thanks.,OTHER
